"Claim.Amount","Close.Amount","Disposition_Approve.in.Full","Disposition_Deny","Disposition_Settle","kmeansCluster"
2000,1000,0,0,1,2
299,192,0,0,1,2
200,50,0,0,1,2
318,109,0,0,1,2
500,206.9,0,0,1,2
60,30,0,0,1,2
180,37.5,0,0,1,2
300,139.99,0,0,1,2
240,70,0,0,1,2
80,20,0,0,1,2
80,74.1,0,0,1,2
206.94,104,0,0,1,2
347.75,312.98,0,0,1,2
1185.08,1155.45,0,0,1,2
737.83,458.29,0,0,1,2
3054,1527,0,0,1,2
300,150,0,0,1,2
492.44,246.22,0,0,1,2
35,17.5,0,0,1,2
125,50,0,0,1,2
199,179.1,0,0,1,2
220,220,1,0,0,4
1000,1000,1,0,0,4
70.36,70.36,1,0,0,4
350,350,1,0,0,4
70,70,1,0,0,4
309.21,309,1,0,0,4
381.47,381,1,0,0,4
60,60,1,0,0,4
50,50,1,0,0,4
20,20,1,0,0,4
71.99,72,1,0,0,4
525,525,1,0,0,4
600,600,1,0,0,4
58.52,59,1,0,0,4
125,125,1,0,0,4
89.95,90,1,0,0,4
40,40,1,0,0,4
21.2,21,1,0,0,4
142.8,143,1,0,0,4
120,120,1,0,0,4
37.05,37,1,0,0,4
1038.93,1038.93,1,0,0,4
120,80,1,0,0,4
300,300,1,0,0,4
300,300,1,0,0,4
29.99,31,1,0,0,4
271.24,271,1,0,0,4
32,0,0,1,0,3
190.29,0,0,1,0,3
449,0,0,1,0,3
250,0,0,1,0,3
359.94,0,0,1,0,3
2300,0,0,1,0,3
106,0,0,1,0,3
749.95,0,0,1,0,3
200,0,0,1,0,3
615,0,0,1,0,3
415,0,0,1,0,3
354.93,0,0,1,0,3
159.96,0,0,1,0,3
2683,1888.26,0,0,1,1
165,45,0,0,1,2
130,126,0,0,1,2
1204.64,258,0,0,1,2
2459.15,200,0,0,1,2
210,105,0,0,1,2
180,90,0,0,1,2
250,125,0,0,1,2
150,75,0,0,1,2
49.95,25,0,0,1,2
500,250,0,0,1,2
221.85,50,0,0,1,2
15000,700,0,0,1,1
1200,299.99,0,0,1,2
3609.76,1439.96,0,0,1,2
38,38,1,0,0,4
42,42,1,0,0,4
42,42,1,0,0,4
100,100,1,0,0,4
129.44,129.44,1,0,0,4
200,200,1,0,0,4
1800,0,0,1,0,3
595,0,0,1,0,3
120,0,0,1,0,3
120,0,0,1,0,3
350,225,0,0,1,2
160,120,0,0,1,2
60,60,1,0,0,4
161,161,1,0,0,4
198,198,1,0,0,4
125,125,1,0,0,4
90,90,1,0,0,4
350,350,1,0,0,4
35,35,1,0,0,4
850,850,0,1,0,3
500,500,0,1,0,3
500,500,0,1,0,3
320,0,0,1,0,3
360.4,360.4,0,1,0,3
950,0,0,1,0,3
2020,0,0,1,0,3
184,0,0,1,0,3
6450,0,0,1,0,3
110,0,0,1,0,3
6500,1000,0,0,1,2
85.52,0,1,0,0,4
50,50,1,0,0,4
69.6,70,1,0,0,4
30,30,1,0,0,4
30,30,1,0,0,4
50,50,1,0,0,4
125,125,1,0,0,4
63.6,64,1,0,0,4
35,35,1,0,0,4
125,125,1,0,0,4
20.74,0,1,0,0,4
20,20,1,0,0,4
46.97,46.97,1,0,0,4
911,911,1,0,0,4
45,45,1,0,0,4
107.37,107.37,1,0,0,4
80,80,1,0,0,4
50,50,1,0,0,4
125,125,1,0,0,4
65,65,1,0,0,4
68,68,1,0,0,4
150,150,1,0,0,4
78.75,79,1,0,0,4
40,40,1,0,0,4
38.6,39,1,0,0,4
3000,3000,0,1,0,1
600,0,0,1,0,3
200,0,0,1,0,3
400,0,0,1,0,3
395,0,0,1,0,3
99,99,0,1,0,3
152,0,0,1,0,3
100,0,0,1,0,3
4045,0,0,1,0,3
2513,2513,0,1,0,1
9200,0,0,1,0,3
109.38,0,0,1,0,3
300,106.25,0,0,1,2
2122,1448.66,0,0,1,2
125,40,0,0,1,2
900,661.13,0,0,1,2
200,120,0,0,1,2
490,245,0,0,1,2
237,190.71,0,0,1,2
279,237.15,0,0,1,2
925,861.17,0,0,1,2
2469,1710.04,0,0,1,1
1299,0,1,0,0,4
75,75,1,0,0,4
117.45,117,1,0,0,4
78.45,78,1,0,0,4
210,210,1,0,0,4
59.98,59.98,1,0,0,4
80,80,1,0,0,4
88,88,1,0,0,4
27.95,27.95,1,0,0,4
487.07,487,1,0,0,4
58,58,1,0,0,4
1425,1425,1,0,0,4
25,25,1,0,0,4
50,50,1,0,0,4
117.98,118,1,0,0,4
3100,0,0,1,0,3
1200,1200,0,1,0,3
1076.3,0,0,1,0,3
375,0,0,1,0,3
110,0,0,1,0,3
145,0,0,1,0,3
177.51,0,0,1,0,3
86.37,0,0,1,0,3
15,0,0,1,0,3
145,0,0,1,0,3
35,0,0,1,0,3
550,0,0,1,0,3
200,0,0,1,0,3
2500,0,0,1,0,3
168,84,0,0,1,2
350,50,0,0,1,2
216,108,0,0,1,2
150,105,0,0,1,2
200,100,0,0,1,2
50,25,0,0,1,2
197,99,0,0,1,2
1200,823.55,0,0,1,2
200,145,0,0,1,2
92,46,0,0,1,2
995,746.25,0,0,1,2
220,10,0,0,1,2
160,50,0,0,1,2
670,335,0,0,1,2
40,40,1,0,0,4
52,52,1,0,0,4
56.49,56.49,1,0,0,4
160,160,1,0,0,4
29.95,0,1,0,0,4
347.5,0,1,0,0,4
26.5,27,1,0,0,4
50,50,1,0,0,4
350,350,1,0,0,4
50,50,1,0,0,4
125,125,1,0,0,4
30,30,1,0,0,4
150,150,1,0,0,4
70,70,1,0,0,4
43.94,44,1,0,0,4
300,300,1,0,0,4
70,0,0,1,0,3
225,0,0,1,0,3
30,0,0,1,0,3
206.39,0,0,1,0,3
400,0,0,1,0,3
400,0,0,1,0,3
30,30,0,1,0,3
4500,0,0,1,0,3
898,0,0,1,0,3
100,0,0,1,0,3
150,0,0,1,0,3
769.93,0,0,1,0,3
287.33,287.33,0,1,0,3
1100,0,0,1,0,3
200,0,0,1,0,3
100,0,0,1,0,3
100,0,0,1,0,3
80,0,0,1,0,3
272.95,0,0,1,0,3
320,0,0,1,0,3
76,0,0,1,0,3
350,20,0,0,1,2
395.89,197.95,0,0,1,2
100,40,0,0,1,2
150,97.22,0,0,1,2
1171,1106,0,0,1,2
250,99,0,0,1,2
349,150,0,0,1,2
45,25,0,0,1,2
120,60,0,0,1,2
508.2,278.25,0,0,1,2
220,90,0,0,1,2
761.94,329.47,0,0,1,2
255,127.5,0,0,1,2
285,250,0,0,1,2
180,80,0,0,1,2
99,99,1,0,0,4
24.99,25,1,0,0,4
